dataset,metric,type,value,layer,temperature
sciq,ECE,temp_sampling,0.017658954486250877,28.0,1.0
sciq,MCE,temp_sampling,0.34988757967948914,28.0,1.0
sciq,ACC,temp_sampling,0.8840000033378601,30.0,0.1
sciq,NLL,temp_sampling,0.29631882905960083,30.0,0.1
sciq,ECE,temp_sampling,0.02281186915934086,30.0,0.1
sciq,MCE,temp_sampling,0.30100393295288086,30.0,0.1
medmcqa_med,ACC,temp_sampling,0.49799999594688416,27.0,0.3
medmcqa_med,NLL,temp_sampling,1.1754971742630005,27.0,0.3
medmcqa_med,ECE,temp_sampling,0.05379693582653999,27.0,0.3
medmcqa_med,MCE,temp_sampling,0.08617579936981201,27.0,0.3
medmcqa_med,ACC,temp_sampling,0.4779999852180481,22.0,0.7
medmcqa_med,NLL,temp_sampling,1.1858667135238647,22.0,0.7
medmcqa_med,ECE,temp_sampling,0.04802810400724411,22.0,0.7
medmcqa_med,MCE,temp_sampling,0.1452488899230957,22.0,0.7
sciq,ACC,temp_sampling,0.8820000290870667,27.0,1.0
sciq,NLL,temp_sampling,0.29140689969062805,27.0,1.0
sciq,ECE,temp_sampling,0.02341734617948532,27.0,1.0
sciq,MCE,temp_sampling,0.3450625240802765,27.0,1.0
obqa,ACC,temp_sampling,0.7319999933242798,25.0,0.1
obqa,NLL,temp_sampling,0.6720981597900391,25.0,0.1
obqa,ECE,temp_sampling,0.05647019296884537,25.0,0.1
obqa,MCE,temp_sampling,0.2950502336025238,25.0,0.1
medmcqa_med,ACC,temp_sampling,0.48399999737739563,28.0,0.3
medmcqa_med,NLL,temp_sampling,1.1923738718032837,28.0,0.3
medmcqa_med,ECE,temp_sampling,0.05158765986561775,28.0,0.3
medmcqa_med,MCE,temp_sampling,0.18670833110809326,28.0,0.3
obqa,ACC,temp_sampling,0.734000027179718,31.0,0.1
obqa,NLL,temp_sampling,0.6557545065879822,31.0,0.1
obqa,ECE,temp_sampling,0.03733722120523453,31.0,0.1
obqa,MCE,temp_sampling,0.14803826808929443,31.0,0.1
obqa,ACC,temp_sampling,0.7360000014305115,29.0,1.0
obqa,NLL,temp_sampling,0.6508694887161255,29.0,1.0
obqa,ECE,temp_sampling,0.02964932657778263,29.0,1.0
obqa,MCE,temp_sampling,0.2906554639339447,29.0,1.0
sciq,ACC,temp_sampling,0.8840000033378601,25.0,0.3
sciq,NLL,temp_sampling,0.30753087997436523,25.0,0.3
sciq,ECE,temp_sampling,0.022828321903944016,25.0,0.3
sciq,MCE,temp_sampling,0.16471801698207855,25.0,0.3
medmcqa_med,ACC,temp_sampling,0.4819999933242798,26.0,0.1
medmcqa_med,NLL,temp_sampling,1.1791939735412598,26.0,0.1
medmcqa_med,ECE,temp_sampling,0.03167124465107918,26.0,0.1
medmcqa_med,MCE,temp_sampling,0.06372380256652832,26.0,0.1
medmcqa_med,ACC,temp_sampling,0.4779999852180481,23.0,0.5
medmcqa_med,NLL,temp_sampling,1.1763107776641846,23.0,0.5
medmcqa_med,ECE,temp_sampling,0.05383913591504097,23.0,0.5
medmcqa_med,MCE,temp_sampling,0.11883242428302765,23.0,0.5
sciq,ACC,temp_sampling,0.8799999952316284,31.0,0.3
sciq,NLL,temp_sampling,0.2974238991737366,31.0,0.3
sciq,ECE,temp_sampling,0.026793353259563446,31.0,0.3
sciq,MCE,temp_sampling,0.3349056839942932,31.0,0.3
